status,migration,file
C,测试验证,E:\football_v\00_System_OS\RELEASE_VALIDATION\tests\test_release_validation_V1.0.py
C,测试验证,E:\football_v\00_System_OS\RELEASE_VALIDATION\tests\test_release_validation_V1.1.py
C,测试验证,E:\football_v\00_System_OS\reports\system_quality_batch_01_report.json
D,归档,E:\football_v\00_System_OS\runtime\system_state.json
C,测试验证,E:\football_v\00_System_OS\scripts\framework_initializer.py
C,测试验证,E:\football_v\00_System_OS\scripts\project_structure_scanner.py
B,整理后迁移,E:\football_v\00_System_OS\SYSTEM_HEALTH_MONITOR\system_health_monitor_V1.0.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\check_database_location_V4.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\database_location_discovery_V4.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\data_schema_validation_V4.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\deploy_training_engine_V4.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\deploy_training_system_V4.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\final_system_completion_V4.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\model_data_snapshot_V4.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\schema_check_V4.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\training_preflight_check_V4.0.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Duplicate_Cleanup_V2.0\duplicate_cleanup_engine_V2.0.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_cleanup_engine_V3.0.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_cleanup_engine_V4.0.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry_V1.9.json
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\consolidation_architecture_V1.4.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\consolidation_architecture_V1.6.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\consolidation_engine_V1.6.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\create_architecture_merge_tool_V1.0.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\deprecated_archive_engine_V1.7.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\deprecated_registry.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\final_architecture_validator_V1.8.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\final_cleanup_engine_V2.1.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\final_delete_engine_V1.9.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_architecture_cleanup_V1.3.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_architecture_V1.0.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_architecture_V1.1.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_config_V1.0.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\migration_executor_V1.2.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\validate_architecture_V1.1.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\cleanup_engine\cleanup_planner_V1.2.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\dependency_migration\dependency_migration_engine_V1.5.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_MERGE_CHECKPOINT_V1.1.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_CHECKPOINT_V1.1.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_REPORT_V1.1.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\CONSOLIDATION_REPORT_V1.4.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\FINAL_DELETE_REPORT_V1.9.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\MERGE_ANALYSIS_REPORT_V1.0.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\MERGE_EXECUTION_REPORT_V1.1.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\MIGRATION_EXECUTION_REPORT_V1.2.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\ai_autonomous_engine_hil_v1.4_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\ai_autonomous_engine_hil_v1.6_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\ai_autonomous_engine_hil_v1.8_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\ai_orchestration_layer_v1.3_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\backtest_system_v1.3_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\decision_engine_v1.3_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v1.9_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v2.0_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v2.1_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v2.2_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v2.3_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v2.6_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v3.0_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\model_layer_v1.3_checkpoint.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\prediction_engine_v1.3_checkpoint.json
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_phase3_2_memory_bridge.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase1.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase1_patch.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase2.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\FINAL_DEPLOYMENT_V4.0\deploy_final_V4.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\FIRST_REAL_PREDICTION_TEST_V4.0\first_real_prediction_test_V4.0.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\config\deployment_tool_config.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\deployment_engine.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\encoding_validator.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\json_validator.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\path_validator.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\syntax_validator.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.0_V1.4.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.2.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.3_V1.4.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.5_V1.6.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.7_V1.8.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.9_V2.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.1_V2.2_BATCH.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.3_V2.4_BATCH.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.5_V2.6_BATCH.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.7_V2.8_BATCH.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.9_V3.0_BATCH.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_V1.0_V1.3.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_intelligence_layer_core_V1.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_intelligence_layer_test_V1.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_orchestration_layer_batch_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_orchestration_layer_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_orchestration_layer_V1.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_orchestration_layer_V1.0_V1.3.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_api_integration_layer_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_api_integration_layer_V1.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_autonomous_learning_engine_test_V1.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_autonomous_learning_engine_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_backtest_system_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_backtest_system_V1.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_backtest_system_V1.0_V1.3.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_data_intelligence_checkpoint_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_data_intelligence_engine_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_data_intelligence_test_V1.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_decision_engine_V1.0_V1.3.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_decision_intelligence_layer_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_decision_intelligence_layer_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_dynamic_feature_weight_checkpoint_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_dynamic_feature_weight_engine_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_dynamic_feature_weight_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_adapter_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_core_V1.0.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.1.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.2.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.3.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.4.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.5.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.6.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.7.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.8.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.9.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V2.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V2.1.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V2.2.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V2.3.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V2.4_V2.6.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V2.7_V3.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_market_intelligence_layer_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_market_intelligence_layer_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_model_explanation_engine_test_V1.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_model_explanation_engine_V1.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_model_layer_V1.0_V1.3.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_module_deployment_tool_test_V1.1.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_module_deployment_tool_V1.1.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_prediction_engine_batch_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_prediction_engine_batch_V1.0.py
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_prediction_engine_V1.0_V1.3.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_prediction_intelligence_engine_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_prediction_intelligence_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_report_intelligence_layer_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_report_intelligence_layer_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_system_monitoring_layer_test_V1.0.py
B,整理后迁移,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_system_monitoring_layer_V1.0.py
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\registry\deployment_tool_registry.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\reports\deployment_tool_deploy_report.json
C,测试验证,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\reports\deployment_tool_test_report.json
A,核心资产，优先迁移,E:\football_v\00_SYSTEM_TOOLS\RUNTIME_VALIDATION_V4.0\runtime_validation_V4.0.py
C,测试验证,E:\football_v\01_DATA_LAYER\database\match_data.db
C,测试验证,E:\football_v\01_Data_Source\acceptance\acceptance_check.py
B,整理后迁移,E:\football_v\01_Data_Source\download\data_downloader.py
C,测试验证,E:\football_v\01_Data_Source\download\download_history.json
C,测试验证,E:\football_v\01_Data_Source\monitor\source_health_report.json
C,测试验证,E:\football_v\01_Data_Source\monitor\source_monitor.py
C,测试验证,E:\football_v\01_Data_Source\pipeline\pipeline_runner.py
C,测试验证,E:\football_v\01_Data_Source\pipeline\source_scanner.py
C,测试验证,E:\football_v\01_Data_Source\pipeline\source_validator.py
C,测试验证,E:\football_v\01_Data_Source\registry\source_registry.json
C,测试验证,E:\football_v\01_Data_Source\registry\source_registry.py
C,测试验证,E:\football_v\01_Data_Source\reports\data_source_acceptance_report.json
C,测试验证,E:\football_v\02_Data_Platform\data_loader\data_loader.py
C,测试验证,E:\football_v\02_Data_Platform\data_loader\__init__.py
C,测试验证,E:\football_v\02_Data_Platform\data_loader\engine\loader_engine.py
C,测试验证,E:\football_v\02_Data_Platform\data_loader\formats\csv_loader.py
C,测试验证,E:\football_v\02_Data_Platform\data_manager\dataset_manager.py
C,测试验证,E:\football_v\02_Data_Platform\data_manager\dataset_registry.json
C,测试验证,E:\football_v\02_Data_Platform\data_manager\dataset_registry.py
C,测试验证,E:\football_v\02_Data_Platform\data_manager\data_manager.py
C,测试验证,E:\football_v\02_Data_Platform\data_manager\__init__.py
C,测试验证,E:\football_v\02_Data_Platform\data_manager\__main__.py
C,测试验证,E:\football_v\02_Data_Platform\integration\platform_bootstrap.py
C,测试验证,E:\football_v\02_Data_Platform\metadata\data_platform_registry.json
C,测试验证,E:\football_v\02_Data_Platform\metadata\metadata_manager.py
C,测试验证,E:\football_v\02_Data_Platform\metadata\metadata_registry.json
C,测试验证,E:\football_v\02_Data_Platform\metadata\metadata_schema.py
C,测试验证,E:\football_v\02_Data_Platform\metadata\lineage\data_lineage.py
C,测试验证,E:\football_v\02_Data_Platform\metadata\lineage\lineage_registry.json
C,测试验证,E:\football_v\02_Data_Platform\pipeline\data_pipeline.py
C,测试验证,E:\football_v\02_Data_Platform\raw\raw_manager.py
C,测试验证,E:\football_v\02_Data_Platform\raw\raw_registry.json
C,测试验证,E:\football_v\02_Data_Platform\raw\raw_registry.py
C,测试验证,E:\football_v\02_Data_Platform\raw\raw_scanner.py
C,测试验证,E:\football_v\02_Data_Platform\registry\data_platform_registry.json
C,测试验证,E:\football_v\02_Data_Platform\registry\data_platform_registry.py
C,测试验证,E:\football_v\02_Data_Platform\storage_engine\storage_manager.py
C,测试验证,E:\football_v\02_Data_Platform\storage_engine\storage_registry.json
C,测试验证,E:\football_v\02_FEATURE_LAYER\database\feature_store.db
C,测试验证,E:\football_v\03_Data_Governance\audit\audit_engine.py
C,测试验证,E:\football_v\03_Data_Governance\audit\audit_rules.json
C,测试验证,E:\football_v\03_Data_Governance\controller\governance_controller.py
B,整理后迁移,E:\football_v\03_Data_Governance\lineage\lineage_engine.py
C,测试验证,E:\football_v\03_Data_Governance\lineage\lineage_registry.json
C,测试验证,E:\football_v\03_Data_Governance\quality\quality_engine.py
C,测试验证,E:\football_v\03_Data_Governance\registry\audit_registry.json
C,测试验证,E:\football_v\03_Data_Governance\registry\data_registry.json
C,测试验证,E:\football_v\03_Data_Governance\registry\governance_registry.json
C,测试验证,E:\football_v\03_Data_Governance\registry\lineage_registry.json
C,测试验证,E:\football_v\03_Data_Governance\registry\quality_registry.json
C,测试验证,E:\football_v\03_Data_Governance\registry\validation_registry.json
C,测试验证,E:\football_v\03_Data_Governance\reports\audit_report.json
C,测试验证,E:\football_v\03_Data_Governance\reports\governance_status.json
C,测试验证,E:\football_v\03_Data_Governance\reports\lineage_report.json
C,测试验证,E:\football_v\03_Data_Governance\reports\quality_report.json
C,测试验证,E:\football_v\03_Data_Governance\reports\validation_report.json
C,测试验证,E:\football_v\03_Data_Governance\validation\rules.json
C,测试验证,E:\football_v\03_Data_Governance\validation\validation_engine.py
C,测试验证,E:\football_v\03_MODEL_LAYER\analysis\accuracy_tracker_V2.11.py
C,测试验证,E:\football_v\03_MODEL_LAYER\analysis\roi_analyzer_V2.11.py
C,测试验证,E:\football_v\03_MODEL_LAYER\confidence_model\confidence_engine_V2.0.py
C,测试验证,E:\football_v\03_MODEL_LAYER\database\model_store.db
C,测试验证,E:\football_v\03_MODEL_LAYER\database\model_store_v23.db
B,整理后迁移,E:\football_v\03_MODEL_LAYER\fusion_engine\fusion_engine_V2.3.py
C,测试验证,E:\football_v\03_MODEL_LAYER\market_model\market_value_model_V1.0.py
C,测试验证,E:\football_v\03_MODEL_LAYER\reports\model_feedback_report_V2.11.json
C,测试验证,E:\football_v\03_MODEL_LAYER\risk_model\risk_engine_V2.0.py
C,测试验证,E:\football_v\03_MODEL_LAYER\runtime\model_feedback_runtime.db
C,测试验证,E:\football_v\04_Data_Processing_AI\cleaning\cleaning_engine.py
C,测试验证,E:\football_v\04_Data_Processing_AI\cleaning\cleaning_rules.json
C,测试验证,E:\football_v\04_Data_Processing_AI\controller\processing_controller.py
B,整理后迁移,E:\football_v\04_Data_Processing_AI\data_intelligence_engine\data_intelligence_engine.py
B,整理后迁移,E:\football_v\04_Data_Processing_AI\data_intelligence_engine\data_router.py
B,整理后迁移,E:\football_v\04_Data_Processing_AI\data_intelligence_engine\feature_selector.py
C,测试验证,E:\football_v\04_Data_Processing_AI\data_intelligence_engine\intelligence_service.py
C,测试验证,E:\football_v\04_Data_Processing_AI\data_intelligence_engine\model_interface.py
C,测试验证,E:\football_v\04_Data_Processing_AI\data_intelligence_engine\config\data_intelligence_config.json
C,测试验证,E:\football_v\04_Data_Processing_AI\data_intelligence_engine\registry\data_intelligence_registry.json
C,测试验证,E:\football_v\04_Data_Processing_AI\data_intelligence_engine\reports\data_intelligence_test_report.json
C,测试验证,E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\feature_weight_manager.py
C,测试验证,E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\model_weight_manager.py
C,测试验证,E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\weight_calculator.py
C,测试验证,E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\weight_engine.py
C,测试验证,E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\config\weight_config.json
C,测试验证,E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\registry\weight_registry.json
C,测试验证,E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\reports\dynamic_feature_weight_test_report.json
B,整理后迁移,E:\football_v\04_Data_Processing_AI\feature_engine\feature_engine.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_engine\feature_rules.json
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\backtest_dataset_manager.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\database_connection_pool.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\database_connector.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\database_health_monitor.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\database_migration_manager.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\dataset_split_manager.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\data_promotion_service.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\data_source_registry.py
B,整理后迁移,E:\football_v\04_Data_Processing_AI\feature_store\elo_history_feature_engine.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\environment_manager.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_anomaly_detector.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_api_service.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_audit_logger.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_auto_generator.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_cache_manager.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_context_builder.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_crud_service.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_database_connector.py
B,整理后迁移,E:\football_v\04_Data_Processing_AI\feature_store\feature_database_health_check.py
B,整理后迁移,E:\football_v\04_Data_Processing_AI\feature_store\feature_database_reader.py
B,整理后迁移,E:\football_v\04_Data_Processing_AI\feature_store\feature_database_service.py
B,整理后迁移,E:\football_v\04_Data_Processing_AI\feature_store\feature_database_session.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_dataset_builder.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_dataset_builder_v2.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_dataset_exporter.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_dataset_generator.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_dataset_reporter.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_dataset_schema_validator.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_dataset_version_manager.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_data_ingestion.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_data_loader.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_drift_detector.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_feature_generator.py
C,测试验证,E:\football_v\04_Data_Processing_AI\feature_store\feature_feedback_optimizer.py
