classes,features,functions,file
TempDirectoryTypeRegistry|_Default|TempDirectory|AdjacentTempDirectory,form,global_tempdir_manager|tempdir_registry|__init__|set_delete|get_delete|__init__|path|__repr__|__enter__|__exit__|_create|cleanup|__init__|_generate_names|_create|onerror,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py
,feature|features|form|rest,current_umask|split_leading_dir|has_leading_dir|is_within_directory|_get_default_mode_plus_executable|set_extracted_file_to_default_mode_plus_executable|zip_item_is_executable|unzip_file|untar_file|_untar_without_filter|unpack_file|pip_filter,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py
,form,path_to_url|url_to_path,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\urls.py
,form,parse_wheel|wheel_dist_info_dir|read_wheel_metadata_file|wheel_metadata|wheel_version|check_compatibility,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\wheel.py
,fitness|rest,_nonblank|yield_lines|_|drop_comment|join_continuation,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py
Git,form,looks_like_hash|get_base_rev_args|is_immutable_rev_checkout|get_git_version|get_current_branch|get_revision_sha|_should_fetch|resolve_revision|is_commit_id_equal|fetch_new|switch|update|get_remote_url|_git_remote_to_pip_url|has_commit|get_revision|get_subdirectory|get_url_rev_and_auth|update_submodules|get_repository_root|should_add_vcs_url_prefix,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\git.py
Subversion,form|previous,should_add_vcs_url_prefix|get_base_rev_args|get_revision|get_netloc_and_auth|get_url_rev_and_auth|make_rev_args|get_remote_url|_get_svn_url_rev|is_commit_id_equal|__init__|call_vcs_version|get_vcs_version|get_remote_call_options|fetch_new|switch|update,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py
RemoteNotFoundError|RemoteNotValidError|RevOptions|VcsSupport|VersionControl,form,is_url|make_vcs_requirement_url|find_path_to_project_root_from_repo_root|__init__|__repr__|arg_rev|to_args|to_display|make_new|__init__|__iter__|backends|dirnames|all_schemes|register|unregister|get_backend_for_dir|get_backend_for_scheme|get_backend|should_add_vcs_url_prefix|get_subdirectory|get_requirement_revision|get_src_requirement|get_base_rev_args|is_immutable_rev_checkout|make_rev_options|_is_local_repository|get_netloc_and_auth|get_url_rev_and_auth|make_rev_args|get_url_rev_options|normalize_url|compare_urls|fetch_new|switch|update|is_commit_id_equal|obtain|unpack|get_remote_url|get_revision|run_command|is_repository_directory|get_repository_root,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py
_Sentinel|_ExtensionsSpecialForm|_DefaultMixin|_TypeVarLikeMeta|_SpecialForm|_AnyMeta|Any|_LiteralGenericAlias|_LiteralForm|_SpecialGenericAlias|_ProtocolMeta|Protocol|SupportsInt|SupportsFloat|SupportsComplex|SupportsBytes|SupportsIndex|SupportsAbs|SupportsRound|_TypedDictMeta|_AnnotatedAlias|Annotated|NoDefaultTypeMeta|NoDefaultType|TypeVar|_Immutable|ParamSpecArgs|ParamSpecKwargs|_ConcatenateGenericAlias|deprecated|_NamedTupleMeta|Buffer|NewType|TypeAliasType|Doc|ParamSpec|ParamSpec|_ConcatenateForm|_TypeGuardForm|_TypeIsForm|_RequiredForm|_ReadOnlyForm|_UnpackSpecialForm|_UnpackAlias|_UnpackAlias|_UnpackForm|TypeVarTuple|TypeVarTuple|Dummy,form|previous|transform,IntVar|_get_protocol_attrs|_caller|_ensure_subclassable|_set_default|_set_module|_concatenate_getitem|_has_generic_or_protocol_as_origin|_is_unpacked_typevartuple|__repr__|_should_collect_from_parameters|__repr__|final|_flatten_literal_params|_value_and_type_iter|overload|get_overloads|clear_overloads|_is_dunder|_allow_reckless_class_checks|_no_init|_type_check_issubclass_arg_1|_proto_hook|runtime_checkable|inner|_get_typeddict_qualifiers|TypedDict|is_typeddict|assert_type|_strip_extras|get_type_hints|get_origin|get_args|__instancecheck__|__init__|__getattr__|__mro_entries__|__repr__|__reduce__|__call__|__or__|__ror__|__instancecheck__|__subclasscheck__|__getitem__|LiteralString|Self|Never|_is_unpack|reveal_type|assert_never|dataclass_transform|override|_check_generic|_check_generic|_collect_type_vars|_collect_parameters|_make_nmtuple|_namedtuple_mro_entries|NamedTuple|get_original_bases|_is_unionable|is_protocol|get_protocol_members|_should_collect_from_parameters|_should_collect_from_parameters|__instancecheck__|__repr__|__new__|__eq__|__hash__|__init__|__getitem__|__init__|__setattr__|__getitem__|__new__|__init__|__subclasscheck__|__instancecheck__|__eq__|__hash__|__init_subclass__|__int__|__float__|__complex__|__bytes__|__index__|__abs__|__round__|__new__|__subclasscheck__|__init__|copy_with|__repr__|__reduce__|__eq__|__hash__|__new__|__class_getitem__|__init_subclass__|TypeAlias|__setattr__|__new__|__repr__|__reduce__|__new__|__init_subclass__|__copy__|__deepcopy__|__init__|__repr__|__eq__|__init__|__repr__|__eq__|__init__|__repr__|__hash__|__call__|__parameters__|Concatenate|TypeGuard|TypeIs|Required|NotRequired|ReadOnly|Unpack|_is_unpack|_is_unpack|_unpack_args|decorator|__init__|__call__|__new__|__call__|__init__|__mro_entries__|__repr__|__reduce__|__init__|__setattr__|__delattr__|_raise_attribute_error|__repr__|__getitem__|__reduce__|__init_subclass__|__call__|__init__|__repr__|__hash__|__eq__|_tvar_prepare_subst|__new__|__init_subclass__|args|kwargs|__init__|__repr__|__hash__|__eq__|__reduce__|__call__|__getitem__|__getitem__|__getitem__|__getitem__|__getitem__|__init__|__typing_unpacked_tuple_args__|__getitem__|__new__|__init_subclass__|__iter__|__init__|__repr__|__hash__|__eq__|__reduce__|__init_subclass__|__or__|__ror__|__or__|__ror__|_paramspec_prepare_subst|_typevartuple_prepare_subst|__init_subclass__|__new__|__init_subclass__|__init_subclass__|wrapper,E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py
,form|rating,vendored,E:\football_v\.venv\Lib\site-packages\pip\_vendor\__init__.py
CacheControlAdapter,form,__init__|send|build_response|close|_update_chunk_length,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py
CacheController,form|normalization|transform,parse_uri|__init__|_urlnorm|cache_url|parse_cache_control|_load_from_cache|cached_request|conditional_headers|_cache_set|cache_response|update_cached_response,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py
CallbackFileWrapper,form,__init__|__getattr__|__is_fp_closed|_close|read|_safe_read,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py
BaseHeuristic|OneDayCache|ExpiresAfter|LastModified,form,expire_after|datetime_to_header|warning|update_headers|apply|update_headers|__init__|update_headers|warning|update_headers|warning,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py
Serializer,form|previous,dumps|serialize|loads|prepare_response|_loads_v4,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py
ZipExtFile|ZipFile|CertificateError|Container|ChainMap|OrderedDict|ConvertingDict|ConvertingList|ConvertingTuple|BaseConfigurator,form|previous|rating|rest,quote|_dnsname_match|match_hostname|which|__init__|__enter__|__exit__|__enter__|__exit__|open|python_implementation|callable|fsencode|fsdecode|_get_normal_name|detect_encoding|cache_from_source|valid_ident|pop|__init__|_access_check|read_or_stop|find_cookie|__init__|__missing__|__getitem__|get|__len__|__iter__|__contains__|__bool__|__repr__|fromkeys|copy|new_child|parents|__setitem__|__delitem__|popitem|pop|clear|__init__|__setitem__|__delitem__|__iter__|__reversed__|clear|popitem|keys|values|items|iterkeys|itervalues|iteritems|update|pop|setdefault|__repr__|__reduce__|copy|fromkeys|__eq__|__ne__|viewkeys|viewvalues|viewitems|__getitem__|get|__getitem__|pop|__getitem__|__init__|resolve|ext_convert|cfg_convert|convert|configure_custom|as_tuple|_recursive_repr|decorating_function|wrapper,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py
_Cache|DistributionPath|Distribution|BaseInstalledDistribution|InstalledDistribution|EggInfoDistribution|DependencyGraph,feature|features|form|rating|rest|transform,make_graph|get_dependent_dists|get_required_dists|make_dist|__init__|clear|add|__init__|_get_cache_enabled|_set_cache_enabled|clear_cache|_yield_distributions|_generate_cache|distinfo_dirname|get_distributions|get_distribution|provides_distribution|get_file_path|get_exported_entries|__init__|source_url|name_and_version|provides|_get_requirements|run_requires|meta_requires|build_requires|test_requires|dev_requires|matches_requirement|__repr__|__eq__|__hash__|__init__|get_hash|__init__|__repr__|__str__|_get_records|exports|read_exports|write_exports|get_resource_path|list_installed_files|write_installed_files|check_installed_files|shared_locations|write_shared_locations|get_distinfo_resource|get_distinfo_file|list_distinfo_files|__eq__|__init__|_get_metadata|__repr__|__str__|check_installed_files|list_installed_files|list_distinfo_files|__eq__|__init__|add_distribution|add_edge|add_missing|_repr_dist|repr_node|to_dot|topological_sort|__repr__|set_name_and_version|parse_requires_data|parse_requires_path|_md5|_size,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py
PackageIndex,form,__init__|_get_pypirc_command|read_configuration|save_configuration|check_credentials|register|_reader|get_sign_command|run_command|sign_file|upload_file|upload_documentation|get_verify_command|verify_signature|download_file|send_request|encode_request|search,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py
RedirectHandler|Locator|PyPIRPCLocator|PyPIJSONLocator|Page|SimpleScrapingLocator|DirectoryLocator|JSONLocator|DistPathLocator|AggregatingLocator|DependencyFinder,form|recent,get_all_distribution_names|http_error_302|__init__|get_errors|clear_errors|clear_cache|_get_scheme|_set_scheme|_get_project|get_distribution_names|get_project|score_url|prefer_url|split_filename|convert_url_to_download_info|_get_digest|_update_version_data|locate|__init__|get_distribution_names|_get_project|__init__|get_distribution_names|_get_project|__init__|links|__init__|_prepare_threads|_wait_threads|_get_project|_is_platform_dependent|_process_download|_should_queue|_fetch|get_page|get_distribution_names|__init__|should_include|_get_project|get_distribution_names|get_distribution_names|_get_project|__init__|_get_project|__init__|clear_cache|_set_scheme|_get_project|get_distribution_names|__init__|add_distribution|remove_distribution|get_matcher|find_providers|try_to_replace|find|same_project|clean,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py
Manifest,form|previous,__init__|findall|add|add_many|sorted|clear|process_directive|_parse_directive|_include_pattern|_exclude_pattern|_translate_pattern|_glob_to_re|add_dir,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py
Evaluator,form|rest,_is_version_marker|_is_literal|_get_versions|default_context|interpret|evaluate|format_full_version,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py
MetadataMissingError|MetadataConflictError|MetadataUnrecognizedVersionError|MetadataInvalidError|LegacyMetadata|Metadata,feature|features|form|transform,_version2fieldlist|_best_version|_get_name_and_version|_has_marker|__init__|set_metadata_version|_write_field|__getitem__|__setitem__|__delitem__|__contains__|_convert_name|_default_value|_remove_line_prefix|__getattr__|get_fullname|is_field|is_multi_field|read|read_file|write|write_file|update|set|get|check|todict|add_requirements|keys|__iter__|values|items|__repr__|__init__|__getattribute__|_validate_value|__setattr__|name_and_version|provides|provides|get_requirements|dictionary|dependencies|dependencies|_validate_mapping|validate|todict|_from_legacy|_to_legacy|write|add_requirements|__repr__|_set|are_valid_constraints|process_entries,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py
ResourceCache|ResourceBase|Resource|ResourceContainer|ResourceFinder|ZipResourceFinder,form,register_finder|finder|finder_for_path|__init__|is_stale|get|__init__|as_stream|file_path|bytes|size|resources|__init__|_adjust_path|_make_path|_find|get_cache_info|find|get_stream|get_bytes|get_size|get_resources|is_container|iterator|__init__|_adjust_path|_find|get_cache_info|get_bytes|get_stream|get_size|get_resources|_is_directory|allowed,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py
ScriptMaker,form,enquote_executable|__init__|_get_alternate_executable|_build_shebang|_get_shebang|_get_script_text|get_manifest|_write_script|get_script_filenames|_make_script|_copy_script|dry_run|dry_run|make|make_multiple|_is_shell|_fix_jython_executable|_get_launcher,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py
cached_property|FileOperator|ExportEntry|Cache|EventMixin|Sequencer|Progress|Transport|ServerProxy|CSVBase|CSVReader|CSVWriter|Configurator|SubprocessMixin|PyPIRCFile|HTTPSConnection|HTTPSHandler|HTTPSOnlyHandler|SafeTransport,form|power|recent,parse_marker|parse_requirement|get_resources_dests|in_venv|get_executable|proceed|extract_by_key|read_exports|write_exports|tempdir|chdir|socket_timeout|convert_path|resolve|get_export_entry|get_cache_base|path_to_cache_dir|ensure_slash|parse_credentials|get_process_umask|is_string_sequence|split_filename|parse_name_and_version|get_extras|_get_external_data|get_project_data|get_package_data|unarchive|zip_dir|iglob|_iglob|_csv_open|normalize_name|_load_pypirc|_store_pypirc|get_host_platform|get_platform|marker_var|marker_expr|marker_and|marker|get_rel_path|read_stream|__init__|__get__|__init__|_init_record|record_as_written|newer|copy_file|copy_stream|write_binary_file|write_text_file|set_mode|ensure_dir|byte_compile|ensure_removed|is_writable|commit|rollback|__init__|value|__repr__|__eq__|__init__|prefix_to_dir|clear|__init__|add|remove|get_subscribers|publish|__init__|add_node|remove_node|add|remove|is_step|get_steps|strong_connections|dot|check_path|__init__|update|increment|start|stop|maximum|percentage|format_duration|ETA|speed|__init__|make_connection|__init__|__enter__|__exit__|__init__|__iter__|next|__init__|writerow|__init__|configure_custom|__getitem__|inc_convert|__init__|reader|run_command|__init__|read|update|strongconnect|extraction_filter|connect|__init__|_conn_maker|https_open|http_open|__init__|make_connection|convert|get_versions,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py
UnsupportedVersionError|Version|Matcher|NormalizedVersion|NormalizedMatcher|LegacyVersion|LegacyMatcher|SemanticVersion|SemanticMatcher|VersionScheme,form|normalization|rest,_pep_440_key|_match_prefix|_suggest_semantic_version|_suggest_normalized_version|_legacy_key|is_semver|_semantic_key|get_scheme|__init__|parse|_check_compatible|__eq__|__ne__|__lt__|__gt__|__le__|__ge__|__hash__|__repr__|__str__|is_prerelease|parse_requirement|__init__|match|exact_version|_check_compatible|__eq__|__ne__|__hash__|__repr__|__str__|parse|is_prerelease|_adjust_local|_match_lt|_match_gt|_match_le|_match_ge|_match_eq|_match_arbitrary|_match_ne|_match_compatible|get_parts|parse|is_prerelease|_match_compatible|make_tuple|parse|is_prerelease|__init__|is_valid_version|is_valid_matcher|is_valid_constraint_list|suggest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\version.py
Mounter|Wheel|_Version,form,_get_suffixes|_load_dynamic|_get_glibc_version|compatible_tags|is_compatible|_derive_abi|__init__|add|remove|find_module|load_module|__init__|filename|exists|tags|metadata|get_wheel_metadata|info|process_shebang|get_hash|write_record|write_records|build_zip|build|skip_entry|install|_get_dylib_cache|_get_extensions|is_compatible|is_mountable|mount|unmount|verify|update|sorter|get_version|update_version|__init__|__str__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\wheel.py
VersionDict|InfoDict|LinuxDistribution|cached_property,form|normalization|power|previous|transform,linux_distribution|id|name|version|version_parts|major_version|minor_version|build_number|like|codename|info|os_release_info|lsb_release_info|distro_release_info|uname_info|os_release_attr|lsb_release_attr|distro_release_attr|uname_attr|main|__init__|__repr__|linux_distribution|id|name|version|version_parts|major_version|minor_version|build_number|like|codename|info|os_release_info|lsb_release_info|distro_release_info|uname_info|oslevel_info|os_release_attr|lsb_release_attr|distro_release_attr|uname_attr|_os_release_info|_parse_os_release_content|_lsb_release_info|_parse_lsb_release_content|_uname_info|_oslevel_info|_debian_version|_parse_uname_content|_to_str|_distro_release_info|_parse_distro_release_file|_parse_distro_release_content|normalize|__init__|__get__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\distro.py
Codec|IncrementalEncoder|IncrementalDecoder|StreamWriter|StreamReader,encoder|form,search_function|encode|decode|_buffer_encode|_buffer_decode,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\codec.py
IDNAError|IDNABidiError|InvalidCodepoint|InvalidCodepointContext,form|normalization,_combining_class|_is_script|_punycode|_unot|valid_label_length|valid_string_length|check_bidi|check_initial_combiner|check_hyphen_ok|check_nfc|valid_contextj|valid_contexto|check_label|alabel|ulabel|uts46_remap|encode|decode,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\core.py
,form,intranges_from_list|_encode_range|_decode_range|intranges_contain,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\intranges.py
UnpackException|BufferFull|OutOfData|FormatError|StackError|ExtraData,form,__init__|__str__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\exceptions.py
Unpacker|Packer|BytesIO,form,_check_type_strict|_get_data_from_buffer|unpackb|newlist_hint|__init__|feed|_consume|_got_extradata|_get_extradata|read_bytes|_read|_reserve|_read_header|_unpack|__iter__|__next__|skip|unpack|read_array_header|read_map_header|tell|__init__|_pack|pack|pack_map_pairs|pack_array_header|pack_map_header|pack_ext_type|_pack_array_header|_pack_map_header|_pack_map_pairs|_pack_raw_header|_pack_bin_header|bytes|reset|getbuffer|__init__|write|getvalue,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\fallback.py
InvalidMarker|UndefinedComparison|UndefinedEnvironmentName|Environment|Marker,form|rating|rest,_normalize_extra_values|_format_marker|_eval_op|_normalize|_evaluate_markers|format_full_version|default_environment|_repair_python_full_version|__init__|__str__|__repr__|__hash__|__eq__|evaluate,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py
InvalidMetadata|RawMetadata|_Validator|Metadata|ExceptionGroup,form|historical,_parse_keywords|_parse_project_urls|_get_payload|parse_email|__init__|__init__|__set_name__|__get__|_invalid_metadata|_process_metadata_version|_process_name|_process_version|_process_summary|_process_description_content_type|_process_dynamic|_process_provides_extra|_process_requires_python|_process_requires_dist|_process_license_expression|_process_license_files|from_raw|from_email|__init__|__repr__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\metadata.py
InvalidRequirement|Requirement,form,__init__|_iter_parts|__str__|__repr__|__hash__|__eq__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\requirements.py
InvalidSpecifier|BaseSpecifier|Specifier|SpecifierSet,form|recent|rest,_coerce_version|_version_split|_version_join|_is_not_suffix|_pad_version|__str__|__hash__|__eq__|prereleases|prereleases|contains|filter|__init__|prereleases|prereleases|operator|version|__repr__|__str__|_canonical_spec|__hash__|__eq__|_get_operator|_compare_compatible|_compare_equal|_compare_not_equal|_compare_less_than_equal|_compare_greater_than_equal|_compare_less_than|_compare_greater_than|_compare_arbitrary|__contains__|contains|filter|__init__|prereleases|prereleases|__repr__|__str__|__hash__|__and__|__eq__|__len__|__iter__|__contains__|contains|filter,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py
Tag,feature|features|form|previous,parse_tag|_get_config_var|_normalize_string|_is_threaded_cpython|_abi3_applies|_cpython_abis|cpython_tags|_generic_abi|generic_tags|_py_interpreter_range|compatible_tags|_mac_arch|_mac_binary_formats|mac_platforms|ios_platforms|_linux_platforms|_generic_platforms|platform_tags|interpreter_name|interpreter_version|_version_nodot|sys_tags|__init__|interpreter|abi|platform|__eq__|__hash__|__str__|__repr__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py
InvalidName|InvalidWheelFilename|InvalidSdistFilename,form,canonicalize_name|is_normalized_name|canonicalize_version|_|parse_wheel_filename|parse_sdist_filename,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\utils.py
_Version|InvalidVersion|_BaseVersion|Version|_TrimmedRelease,form|recent|rest,parse|_parse_letter_version|_parse_local_version|_cmpkey|__hash__|__lt__|__le__|__eq__|__ge__|__gt__|__ne__|__init__|__repr__|__str__|epoch|release|pre|post|dev|local|public|base_version|is_prerelease|is_postrelease|is_devrelease|major|minor|micro|release,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\version.py
ELFInvalid|EIClass|EIData|EMachine|ELFFile,form,__init__|_read|interpreter,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_elffile.py
_GLibCVersion,form|rest,_parse_elf|_is_linux_armhf|_is_linux_i686|_have_compatible_abi|_glibc_version_string_confstr|_glibc_version_string_ctypes|_glibc_version_string|_parse_glibc_version|_get_glibc_version|_is_compatible|platform_tags,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_manylinux.py
_MuslVersion,form,_parse_musl_version|_get_musl_version|platform_tags,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_musllinux.py
Node|Variable|Value|Op|ParsedRequirement,form,parse_requirement|_parse_requirement|_parse_requirement_details|_parse_requirement_marker|_parse_extras|_parse_extras_list|_parse_specifier|_parse_version_many|parse_marker|_parse_full_marker|_parse_marker|_parse_marker_atom|_parse_marker_item|_parse_marker_var|process_env_var|process_python_str|_parse_marker_op|__init__|__str__|__repr__|serialize|serialize|serialize|serialize,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_parser.py
Token|ParserSyntaxError|Tokenizer,form,__init__|__str__|__init__|consume|check|expect|read|raise_syntax_error|enclosing_tokens,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_tokenizer.py
SPDXLicense|SPDXException,form,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\_spdx.py
InvalidLicenseExpression,fitness|recent|rest,canonicalize_license_expression,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py
_LoaderProtocol|_ZipLoaderModule|PEP440Warning|ResolutionError|VersionConflict|ContextualVersionConflict|DistributionNotFound|UnknownExtra|IMetadataProvider|IResourceProvider|WorkingSet|_ReqExtras|Environment|ExtractionError|ResourceManager|NullProvider|EggProvider|DefaultProvider|EmptyProvider|ZipManifests|MemoizedZipManifests|ZipProvider|FileMetadata|PathMetadata|EggMetadata|NoDists|EntryPoint|Distribution|EggInfoDistribution|DistInfoDistribution|RequirementParseError|Requirement|PkgResourcesDeprecationWarning|manifest_mod,feature|form|power|previous|recent|rest,_declare_state|__getstate__|__setstate__|_sget_dict|_sset_dict|_sget_object|_sset_object|get_supported_platform|register_loader_type|get_provider|get_provider|get_provider|_macos_vers|_macos_arch|get_build_platform|compatible_platforms|get_distribution|get_distribution|get_distribution|load_entry_point|get_entry_map|get_entry_map|get_entry_map|get_entry_info|get_default_cache|safe_name|safe_version|_forgiving_version|_safe_segment|safe_extra|to_filename|invalid_marker|evaluate_marker|_parents|register_finder|find_distributions|find_eggs_in_zip|find_nothing|find_on_path|dist_factory|safe_listdir|distributions_from_metadata|non_empty_lines|resolve_egg_link|register_namespace_handler|_handle_ns|_rebuild_mod_path|declare_namespace|fixup_namespace_packages|file_ns_handler|null_ns_handler|normalize_path|normalize_path|normalize_path|_cygwin_patch|_is_egg_path|_is_zip_egg|_is_unpacked_egg|_set_parent_ns|_version_from_file|issue_warning|parse_requirements|_always_object|_find_adapter|ensure_directory|_bypass_ensure_directory|split_sections|_mkstemp|_read_utf8_with_fallback|_call_aside|_initialize|_initialize_master_working_set|load_module|__repr__|dist|req|report|with_context|required_by|req|requirers|requirers_str|report|__str__|has_metadata|get_metadata|get_metadata_lines|metadata_isdir|metadata_listdir|run_script|get_resource_filename|get_resource_stream|get_resource_string|has_resource|resource_isdir|resource_listdir|__init__|_build_master|_build_from_requirements|add_entry|__contains__|find|iter_entry_points|run_script|__iter__|add|resolve|resolve|resolve|resolve|_resolve_dist|find_plugins|find_plugins|find_plugins|find_plugins|require|subscribe|_added_new|__getstate__|__setstate__|markers_pass|__init__|can_add|remove|scan|__getitem__|add|best_match|best_match|best_match|obtain|obtain|obtain|obtain|__iter__|__iadd__|__add__|__init__|resource_exists|resource_isdir|resource_filename|resource_stream|resource_string|resource_listdir|extraction_error|get_cache_path|_warn_unsafe_extraction_path|postprocess|set_extraction_path|cleanup_resources|__init__|get_resource_filename|get_resource_stream|get_resource_string|has_resource|_get_metadata_path|has_metadata|get_metadata|get_metadata_lines|resource_isdir|metadata_isdir|resource_listdir|metadata_listdir|run_script|_has|_isdir|_listdir|_fn|_validate_resource_path|_get|__init__|_setup_prefix|_set_egg|_has|_isdir|_listdir|get_resource_stream|_get|_register|_get|_listdir|__init__|build|load|__init__|_zipinfo_name|_parts|zipinfo|get_resource_filename|_get_date_and_size|_extract_resource|_is_current|_get_eager_resources|_index|_has|_isdir|_listdir|_eager_to_zip|_resource_to_zip|__init__|_get_metadata_path|has_metadata|get_metadata|_warn_on_replacement|get_metadata_lines|__init__|__init__|__bool__|__call__|safe_sys_path_index|position_in_sys_path|_normalize_cached|_normalize_cached|_normalize_cached|_normalize_cached|__init__|__str__|__repr__|load|load|load|resolve|require|parse|_parse_extras|parse_group|parse_map|is_version_line|__init__|from_location|_reload_version|hashcmp|__hash__|__lt__|__le__|__gt__|__ge__|__eq__|__ne__|key|parsed_version|_forgiving_parsed_version|version|_dep_map|_filter_extras|_build_dep_map|requires|_get_metadata_path_for_display|_get_metadata|_get_version|activate|egg_name|__repr__|__str__|__getattr__|__dir__|from_filename|as_requirement|load_entry_point|get_entry_map|get_entry_map|get_entry_map|get_entry_info|insert_on|check_version_conflict|has_version|clone|extras|_reload_version|_parsed_pkg_info|_dep_map|_compute_dependencies|__init__|__eq__|__ne__|__contains__|__hash__|__repr__|parse|reqs_for_extra,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
Android,form,_android_folder|_android_documents_folder|_android_downloads_folder|_android_pictures_folder|_android_videos_folder|_android_music_folder|user_data_dir|site_data_dir|user_config_dir|site_config_dir|user_cache_dir|site_cache_dir|user_state_dir|user_log_dir|user_documents_dir|user_downloads_dir|user_pictures_dir|user_videos_dir|user_music_dir|user_desktop_dir|user_runtime_dir|site_runtime_dir,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\android.py
PlatformDirsABC,form,__init__|_append_app_name_and_version|_optionally_create_directory|_first_item_as_path_if_multipath|user_data_dir|site_data_dir|user_config_dir|site_config_dir|user_cache_dir|site_cache_dir|user_state_dir|user_log_dir|user_documents_dir|user_downloads_dir|user_pictures_dir|user_videos_dir|user_music_dir|user_desktop_dir|user_runtime_dir|site_runtime_dir|user_data_path|site_data_path|user_config_path|site_config_path|user_cache_path|site_cache_path|user_state_path|user_log_path|user_documents_path|user_downloads_path|user_pictures_path|user_videos_path|user_music_path|user_desktop_path|user_runtime_path|site_runtime_path|iter_config_dirs|iter_data_dirs|iter_cache_dirs|iter_runtime_dirs|iter_config_paths|iter_data_paths|iter_cache_paths|iter_runtime_paths,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py
MacOS,form|rating,user_data_dir|site_data_dir|site_data_path|user_config_dir|site_config_dir|user_cache_dir|site_cache_dir|site_cache_path|user_state_dir|user_log_dir|user_documents_dir|user_downloads_dir|user_pictures_dir|user_videos_dir|user_music_dir|user_desktop_dir|user_runtime_dir|site_runtime_dir,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py
Unix,form,_get_user_media_dir|_get_user_dirs_folder|getuid|user_data_dir|_site_data_dirs|site_data_dir|user_config_dir|_site_config_dirs|site_config_dir|user_cache_dir|site_cache_dir|user_state_dir|user_log_dir|user_documents_dir|user_downloads_dir|user_pictures_dir|user_videos_dir|user_music_dir|user_desktop_dir|user_runtime_dir|site_runtime_dir|site_data_path|site_config_path|site_cache_path|iter_config_dirs|iter_data_dirs,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py
